,shopee_product_ID,shopee_name,shopee_cat,shopee_price,lazada_name,lazada_cat,lazada_price,lazada_discount_price,lazada_weight,similarity_score
1067,123806192,Fancycube Foot Rest Hammock Footrest ,Home & Living,134428,"Fancyqube Hot Sale Inflatable U Shape Pillow Neck Head Rest Air
Cushion for Travel Office Plane - intl",Furnitur & Dekorasi,129000.0,129000.0,,0.328170440299
1068,190277474,Fancyqube Women Sexy Velvet Jumpsuits Bodysuit Rompers,Women Clothes,123228,"Fancyqube Winter Rompers Womens Jumpsuit Autumn Scarf collar Long
sleeve Bandage Bodysuits For Women overalls Shorts Army Green -
intl",Fashion,142000.0,142000.0,,0.408360433484
1069,215140306,Fancyqube Man skull Printed T-shirt short sleeves Tops,Men Clothes,90976,"Fancyqube Women V Neck Top Short Sleeve Letter Printing T-Shirt Tee
Top Mom of Boys Casual Tops Blouse Grey - intl",Fashion,88000.0,88000.0,,0.542645384643
1070,123806332,Fancycube Walking dead Thermal coffee cup,Home & Living,123332,"Fancyqube New Fashion Minecraft The Walking Dead bracelet Silicone
wristband High Quality - intl","Jam Tangan, Kacamata, dan Perhiasan",37000.0,37000.0,,0.398088817493
1071,252399079,Fancyqube (Ready Stock) Off The shoulder loose blouse,Women Clothes,89662,"Fancyqube Women Elegant Flower Lace Off Shoulder Summer Blouse
O-neck Fashion Black - intl",Fashion,130000.0,130000.0,,0.417362749041
1072,128076455,Fancyqube Fashion Summer Fashion Brand Tops T Shirt Women Beige Lace Stitching Sleeveless Vest Camisetas Mujer,Women Clothes,73991,"Fancyqube Fashion Women Summer Vest Top Sleeveless Lace Blouse
Casual Tank Tops T-Shirt Black - intl",Fashion,182000.0,182000.0,,0.525006918847
1073,179316636,Fancyqube Shark Baby Boy Girl Cute Cotton Sleeping Bag ,Baby & Kids,178404,"Fancyqube Soft Newborn Baby Toddler Infant Boys Girls Cotton
Mom/Dad Socks 0~6 Months 01 - intl",Bayi & Balita,41000.0,41000.0,,0.359561718617
1074,128076814,Fancyqube women top slim t-shirt with long sleeves,Women Clothes,95845,"Fancyqube New Hot T shirt women Autumn Slim Long Sleeve Striped T
shirt Printing Flower Stitching White - intl",Fashion,177000.0,177000.0,,0.629043592498
1075,182040751,Fancyqube Short-Sleeved Shirt Skirt Sexy Lace Dresses,Women Clothes,110558,"Fancyqube Women Fashion Skull Print Short Skirt Bottom Skirt Casual
Mini Dress Grey - intl",Fashion,122000.0,122000.0,,0.438289989194
1076,114874400,Fancycube Stent type 3.0 traffic recorder,Automotive,163118,"Fancyqube Tree Type Bottle Drying Rack Type Frame Glass
Antibacterial Glass Containing Creative Collapsible Rack - intl",Binatu & Kebersihan,78000.0,78000.0,,0.346705366513
